generator,split_seed,price,quality,mean_length,samples,matched_length,matched_saving_percent,relative_profit_percent,relative_vs_test_oracle
llama3.2_3b,75,1e-05,0.31958635947875197,8842.84,8.2475,11590.597537148125,23.706780675815033,9.367744148264237,7.704718550643335
mistral_7b,71,2e-08,0.6285478960210165,1034181.9975,678.8625,1279747.719440266,19.18860398889174,0.5877699182362831,0.4254482258157942
mistral_7b,71,1e-07,0.5740296763193402,309645.985,256.1125,399266.01075233746,22.446194601806035,1.418077201844311,1.1149594190317165
mistral_7b,71,2e-07,0.545046259590424,176750.69,148.3,229188.2470377335,22.879688516095765,3.0282557370437595,1.650930699481062
mistral_7b,71,1e-06,0.4528848379878653,46010.0025,37.76,51919.1366854837,11.381418418569089,0.7449846002591469,0.6812356594235166
mistral_7b,71,2e-06,0.397059136411051,25371.44,21.3,28763.765851734315,11.79374727641852,-0.39968087200258606,-1.1369676987955075
mistral_7b,71,1e-05,0.30587705019483075,8620.11,5.9775,10238.936486599561,15.810494466082847,5.445807637570914,5.445807637570914
mistral_7b,72,2e-08,0.6402823087123528,986346.025,684.2375,1212951.0631428573,18.682125357613742,-0.2579979043167891,-0.512799230727612
mistral_7b,72,1e-07,0.5779983066613744,300740.71,261.7775,383396.80892127886,21.558890683998953,1.1275445473312316,0.7966194667578541
mistral_7b,72,2e-07,0.5434109788365924,174816.11,153.195,216889.7499166632,19.398629918117106,1.8991313565585128,0.7985802892097904
mistral_7b,72,1e-06,0.4511250508459092,45988.405,39.8175,48722.704021692356,5.611960741084876,0.31985268016683355,-0.012254154263268676
mistral_7b,72,2e-06,0.3905704082268343,25110.355,22.21,26401.670356481074,4.891036586115405,-1.8514487416432683,-3.9367131950582874
mistral_7b,72,1e-05,0.29552801540418966,8176.255,6.12,9036.150773474163,9.51617336884647,5.388400243539958,3.7303546999219375
mistral_7b,73,2e-08,0.6415683319010451,998953.8225,678.07,1202356.401930002,16.916995584961636,-0.26685239663030447,-0.27780054352655476
mistral_7b,73,1e-07,0.5778573046042996,303694.0125,247.8025,366632.85865988425,17.1667226963612,0.7104319437752048,0.1915953414002205
mistral_7b,73,2e-07,0.5451462568054288,173058.0775,142.5075,216650.17726881098,20.1209619665917,1.7481715511926514,0.42091083193545925
mistral_7b,73,1e-06,0.45733687701887676,44849.7575,37.38,53206.986506555135,15.707014351443338,1.644353759560373,1.3285222252347404
mistral_7b,73,2e-06,0.39792127808198535,24438.065,21.13,27129.88001929432,9.921956961770373,-1.0698612184665965,-1.0758560703330562
mistral_7b,73,1e-05,0.30629345728632545,8161.2925,6.0825,9665.110884556116,15.559246060581344,5.963071769699904,5.963071769699852
mistral_7b,74,2e-08,0.6489279209728993,1029760.965,634.46,1275660.1476363312,19.276229887086892,-0.10123553434827888,-0.29458880180572855
mistral_7b,74,1e-07,0.5793714055600392,300912.7075,205.8275,363091.3295366248,17.124788442614914,0.8884474292898106,0.6437413054458646
mistral_7b,74,2e-07,0.5464158694787257,171968.0825,117.7625,215975.8020129906,20.376226921173146,0.7834901005853615,0.6336274799222353
mistral_7b,74,1e-06,0.44749873272824786,46008.815,32.0425,51576.4575524187,10.79493012245003,0.21281988259752477,-0.18196964772469787
mistral_7b,74,2e-06,0.3948321207673547,25151.25,17.955,29750.77314390997,15.460180216699682,1.1198957390436743,-0.03274755020289731
mistral_7b,74,1e-05,0.28822616831727343,8632.565,5.5175,9531.905359884206,9.435053390995174,4.834063321630171,4.5904004525790025
mistral_7b,75,2e-08,0.645067085031318,1021963.9225,662.8175,1227500.9992879715,16.744351076471307,-0.25544270580192385,-0.48169713901895944
mistral_7b,75,1e-07,0.5778428165311655,309418.35,239.9325,368207.93300536985,15.966408579391612,0.21713450275082158,0.21713450275082158
mistral_7b,75,2e-07,0.5467976243506191,175043.475,137.1875,219009.03727478,20.074770804831466,1.4439723027612112,1.2190163340091131
mistral_7b,75,1e-06,0.4511383448316691,46149.9475,35.8375,49428.15768759927,6.632272657861405,-0.33410398151513493,-0.5116545342278754
mistral_7b,75,2e-06,0.39486004854891776,25526.6875,20.05,27901.797228188956,8.512389753120997,-1.7064747729909124,-2.497050560381637
mistral_7b,75,1e-05,0.2972079736017801,8392.99,5.65,9432.503448710777,11.020546712366762,3.9309797494544254,3.9309797494544116
qwen2.5_7b,71,2e-08,0.6291421091652064,1080131.66,611.6725,1240947.246541654,12.95909934848758,-0.04578526880345395,-0.19362583030603014
qwen2.5_7b,71,1e-07,0.5745209989005099,312636.9125,239.2925,417279.2866062426,25.077298937434755,2.982215942783959,1.6125685825361058
qwen2.5_7b,71,2e-07,0.5384145135794477,178618.0625,148.59,244478.80140783245,26.93924320987057,5.64190673774077,1.740763370495873
qwen2.5_7b,71,1e-06,0.44361039960956883,46171.545,41.7175,67699.042802624,31.798821536350587,5.725649948218017,4.975484680794034
qwen2.5_7b,71,2e-06,0.3910048743049876,25181.78,22.8675,33390.475699619965,24.58394355763369,5.451498155721354,4.784286324133833
qwen2.5_7b,71,1e-05,0.3048027691387734,9921.565,6.635,12140.429536494157,18.27665594387946,5.885409995821251,5.88540999582128
qwen2.5_7b,72,2e-08,0.6407555825670639,995296.4775,628.3775,1207345.4058811415,17.563236448179843,0.19490885319518536,-0.042886110758261445
qwen2.5_7b,72,1e-07,0.5882985088281234,296146.14,267.1675,459040.3274470309,35.485811966232404,2.965714336272334,2.693031011124862
qwen2.5_7b,72,2e-07,0.5535236377944703,168911.78,166.68,254625.1538669523,33.66257126023754,3.6071026225667815,3.0709679502279945
qwen2.5_7b,72,1e-06,0.46500298382807914,43264.745,44.8925,70699.7769871119,38.80497670044011,7.385141885116798,6.948168707941375
qwen2.5_7b,72,2e-06,0.411824259906104,23973.4725,25.3,35514.114345327675,32.495930302837436,8.482351602349043,6.724672395743664
qwen2.5_7b,72,1e-05,0.31488394434267575,8726.26,7.165,10898.81447027446,19.933860478127297,7.090282824780515,7.090282824780554
qwen2.5_7b,73,2e-08,0.6323752333194802,980554.2125,626.7525,1057441.0026173405,7.2710240975177864,-0.8011904999390684,-1.289693680014132
qwen2.5_7b,73,1e-07,0.574196543936754,294735.3725,284.485,374694.29067257745,21.33977489463502,0.775856232993251,0.43408474057251006
qwen2.5_7b,73,2e-07,0.5413678144949655,169573.3625,190.1125,223644.13235689796,24.17714665127464,2.0323987849069205,1.6282417507141798
qwen2.5_7b,73,1e-06,0.4509733556114279,43706.4725,51.8275,64163.963763723645,31.88314758585673,5.009563430970826,4.318501671675544
qwen2.5_7b,73,2e-06,0.40206251113171065,23767.5475,28.235,34211.67078357649,30.527954479762652,8.199190975153561,6.2128689442403315
qwen2.5_7b,73,1e-05,0.31404912435979243,8983.04,7.895,11849.515122449153,24.190653312206468,7.443133068508668,7.443133068508694
qwen2.5_7b,74,2e-08,0.6292340632695781,1052194.72,599.785,1165596.1949049688,9.7290532862639,-0.3501854107525194,-0.49742109525341105
qwen2.5_7b,74,1e-07,0.5713361714901182,309700.4375,255.905,421349.6048910526,26.497987916690104,1.2824036789782638,1.097940717127672
qwen2.5_7b,74,2e-07,0.5355162914285194,178293.6675,177.69,248724.05144358543,28.3166760652257,2.614823659681177,2.182748318400447
qwen2.5_7b,74,1e-06,0.44973571031684434,45488.68,49.8625,68977.82082976136,34.05317904683163,6.5482966223554575,5.666310778766117
qwen2.5_7b,74,2e-06,0.39868190535214254,25053.7425,27.21,34290.48229868761,26.936745065965795,5.6195503609398605,4.676383436738337
qwen2.5_7b,74,1e-05,0.31442049493838603,9752.8525,7.8675,12189.099181710517,19.98709375805271,5.566048846801741,5.566048846801754
qwen2.5_7b,75,2e-08,0.6358145539763111,1058493.2375,598.0825,1081588.1749237704,2.135280133346318,-0.8784838297419731,-1.0474939645565229
