generator,split_seed,method,target,attained_quality,mean_length,samples,matched_feasible,matched_length,matched_saving_percent
gemma2_9b,73,shape_jensen_moment,0.35,0.32667496615740227,6656.525,4.94,True,6461.040426334204,-3.025589700213449
gemma2_9b,73,shape_jensen_moment,0.4,0.35359902137262156,11178.4875,7.99,True,8990.600085914744,-24.33527676882148
gemma2_9b,73,shape_jensen_moment,0.45,0.4183374138548541,27236.8475,18.625,True,23611.97912704623,-15.351819317854986
gemma2_9b,73,shape_jensen_moment,0.5,0.49518621195093665,89972.735,65.9725,True,78444.91039201868,-14.695439832071266
gemma2_9b,73,shape_jensen_moment,0.55,0.5588439460319043,238431.66,187.115,True,212356.66241275708,-12.278869563584038
gemma2_9b,73,shape_jensen_moment,0.6,0.6050994695527312,556255.335,384.4625,True,478201.229380584,-16.32243934640649
gemma2_9b,73,shape_empirical_moment,0.3,0.31774716159586697,5714.11,4.195,True,5766.293629346876,0.9049769696307775
gemma2_9b,73,shape_empirical_moment,0.35,0.32667496615740227,6656.525,4.94,True,6461.040426334204,-3.025589700213449
gemma2_9b,73,shape_empirical_moment,0.4,0.35359902137262156,11178.4875,7.99,True,8990.600085914744,-24.33527676882148
gemma2_9b,73,shape_empirical_moment,0.45,0.4183374138548541,27236.8475,18.625,True,23611.97912704623,-15.351819317854986
gemma2_9b,73,shape_empirical_moment,0.5,0.49518621195093665,89972.735,65.9725,True,78444.91039201868,-14.695439832071266
gemma2_9b,73,shape_empirical_moment,0.55,0.5588439460319043,238431.66,187.115,True,212356.66241275708,-12.278869563584038
gemma2_9b,73,shape_empirical_moment,0.6,0.6050994695527312,556255.335,384.4625,True,478201.229380584,-16.32243934640649
gemma2_9b,74,rank_jensen_bound,0.3,0.33045258354370044,6901.405,4.825,True,6554.488170414462,-5.292813421365916
gemma2_9b,74,rank_jensen_bound,0.35,0.35112275200564175,10975.2925,7.435,True,8289.10412310018,-32.40625690071761
gemma2_9b,74,rank_jensen_bound,0.4,0.3987021469548808,24129.505,15.5925,True,16675.1608987105,-44.703281405014515
gemma2_9b,74,rank_jensen_bound,0.45,0.4776650718761228,66814.4875,47.085,True,56020.260984741784,-19.268433108867946
gemma2_9b,74,rank_jensen_bound,0.5,0.5516953027418444,191277.63,171.99,True,183414.60172632936,-4.287024151655583
gemma2_9b,74,rank_jensen_bound,0.55,0.6053418144348176,459894.2725,373.52,True,477084.9106616839,3.603265954867785
gemma2_9b,74,rank_jensen_bound,0.6,0.6343794860106693,855285.9675,575.225,True,804775.6834852076,-6.2763183643981035
gemma2_9b,74,rank_empirical_bound,0.3,0.33045258354370044,6901.405,4.825,True,6554.488170414462,-5.292813421365916
gemma2_9b,74,rank_empirical_bound,0.35,0.35112275200564175,10975.2925,7.435,True,8289.10412310018,-32.40625690071761
gemma2_9b,74,rank_empirical_bound,0.4,0.3987021469548808,24129.505,15.5925,True,16675.1608987105,-44.703281405014515
gemma2_9b,74,rank_empirical_bound,0.45,0.4776650718761228,66814.4875,47.085,True,56020.260984741784,-19.268433108867946
gemma2_9b,74,rank_empirical_bound,0.5,0.5516953027418444,191277.63,171.99,True,183414.60172632936,-4.287024151655583
gemma2_9b,74,rank_empirical_bound,0.55,0.6053418144348176,459894.2725,373.52,True,477084.9106616839,3.603265954867785
gemma2_9b,74,rank_empirical_bound,0.6,0.6343794860106693,855285.9675,575.225,True,804775.6834852076,-6.2763183643981035
gemma2_9b,74,shape_jensen_bound,0.3,0.33045258354370044,6901.405,4.825,True,6554.488170414462,-5.292813421365916
gemma2_9b,74,shape_jensen_bound,0.35,0.35112275200564175,10975.2925,7.435,True,8289.10412310018,-32.40625690071761
gemma2_9b,74,shape_jensen_bound,0.4,0.3987021469548808,24129.505,15.5925,True,16675.1608987105,-44.703281405014515
gemma2_9b,74,shape_jensen_bound,0.45,0.4776650718761228,66814.4875,47.085,True,56020.260984741784,-19.268433108867946
gemma2_9b,74,shape_jensen_bound,0.5,0.5516953027418444,191277.63,171.99,True,183414.60172632936,-4.287024151655583
gemma2_9b,74,shape_jensen_bound,0.55,0.6053418144348176,459894.2725,373.52,True,477084.9106616839,3.603265954867785
gemma2_9b,74,shape_jensen_bound,0.6,0.6343794860106693,855285.9675,575.225,True,804775.6834852076,-6.2763183643981035
gemma2_9b,74,shape_empirical_bound,0.3,0.33045258354370044,6901.405,4.825,True,6554.488170414462,-5.292813421365916
gemma2_9b,74,shape_empirical_bound,0.35,0.35112275200564175,10975.2925,7.435,True,8289.10412310018,-32.40625690071761
gemma2_9b,74,shape_empirical_bound,0.4,0.3987021469548808,24129.505,15.5925,True,16675.1608987105,-44.703281405014515
gemma2_9b,74,shape_empirical_bound,0.45,0.4776650718761228,66814.4875,47.085,True,56020.260984741784,-19.268433108867946
gemma2_9b,74,shape_empirical_bound,0.5,0.5516953027418444,191277.63,171.99,True,183414.60172632936,-4.287024151655583
gemma2_9b,74,shape_empirical_bound,0.55,0.6053418144348176,459894.2725,373.52,True,477084.9106616839,3.603265954867785
gemma2_9b,74,shape_empirical_bound,0.6,0.6343794860106693,855285.9675,575.225,True,804775.6834852076,-6.2763183643981035
gemma2_9b,74,rank_jensen_moment,0.3,0.32318293121975555,5918.16,4.2075,True,5944.427593752413,0.4418860073259201
