split,fold,mixture,problem_id,n,predicted,correct,brier
0,1,0.0,3346,256,0.5734694370446825,3.007160749322994e-06,0.3288697662633706
0,1,0.0,3346,512,0.573489932885906,0.0,0.32889070312148094
0,1,0.0,3374,10,0.7708460639509738,0.6294270522119342,0.2573477040699247
0,1,0.0,3374,16,0.8061312084527976,0.614831496503055,0.2795523110588002
0,1,0.0,3374,32,0.8574170929887729,0.5682872895088112,0.3150369237942435
0,1,0.0,3374,64,0.9082498422527903,0.6255746637275531,0.28739321989824607
0,1,0.0,3374,128,0.9466055996755279,0.7585643603655042,0.20172535756189397
0,1,0.0,3374,256,0.9755124389691058,0.865730660274583,0.1149234815503622
0,1,0.0,3374,512,0.9949494949494949,1.0,2.550760126517735e-05
0,1,0.0,abc308_c,10,0.5383396469340891,0.007521942629070022,0.32538492899830257
0,1,0.0,abc308_c,16,0.6135983718361573,0.006306785600238479,0.39479906376294405
0,1,0.0,abc308_c,32,0.6854959645976202,0.0021606157731713614,0.47706239345511436
0,1,0.0,abc308_c,64,0.7321680412298611,0.00010436656690619782,0.5409410197047873
