generator,reward_model,split_seed,price_per_million,policy,gain_factor,cost_beta,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent,mean_cost_discount
gemma3_4b,fsfairx_llama3_rm,72,1.0,top2_factor0p25_beta2,0.25,2.0,63,0.44957610221082617,0.44775955726861416,19846.785,55.585,0.4279127722686142,-4.818612429726767,0.9642005146707295
gemma3_4b,fsfairx_llama3_rm,72,2.0,current_beta0,1.0,0.0,34,0.40974662295318365,0.4733655721754708,22513.97,62.2075,0.42833763217547083,4.537196447964705,1.0
gemma3_4b,fsfairx_llama3_rm,72,2.0,current_beta1,1.0,1.0,34,0.40974662295318365,0.4735075669681481,22854.845,63.0825,0.4277978769681481,4.40546742883758,0.9832906684808559
gemma3_4b,fsfairx_llama3_rm,72,2.0,current_beta2,1.0,2.0,34,0.40974662295318365,0.47512461091306074,23178.56,63.9,0.42876749091306077,4.642104875151194,0.9675023974211706
gemma3_4b,fsfairx_llama3_rm,72,2.0,top2_factor4_beta0,4.0,0.0,34,0.40974662295318365,0.5459170422429999,108567.6525,259.6575,0.32878173724299986,-19.75974447980614,1.0
gemma3_4b,fsfairx_llama3_rm,72,2.0,top2_factor4_beta2,4.0,2.0,34,0.40974662295318365,0.547130306932682,110326.8875,262.52,0.32647653193268206,-20.322337355789696,0.9842733214841414
gemma3_4b,fsfairx_llama3_rm,72,2.0,top2_factor1_beta2,1.0,2.0,34,0.40974662295318365,0.48691669429845036,35526.185,101.23,0.4158643242984504,1.493044970370805,0.9730321788614233
gemma3_4b,fsfairx_llama3_rm,72,2.0,top2_factor0p25_beta2,0.25,2.0,34,0.40974662295318365,0.41640948824461455,11479.855,31.0925,0.3934497782446145,-3.9772981144084136,0.9548645107666647
gemma3_4b,fsfairx_llama3_rm,72,5.0,current_beta0,1.0,0.0,16,0.35496760252190307,0.41815198697418643,9670.365,27.845,0.3698001619741864,4.178567099336371,1.0
gemma3_4b,fsfairx_llama3_rm,72,5.0,current_beta1,1.0,1.0,16,0.35496760252190307,0.4199067451999043,9877.245,28.385,0.3705205201999043,4.381503429469039,0.9755544402854478
gemma3_4b,fsfairx_llama3_rm,72,5.0,current_beta2,1.0,2.0,16,0.35496760252190307,0.42135935392197416,10077.275,28.91,0.3709729789219742,4.5089682231165025,0.9529317208127642
gemma3_4b,fsfairx_llama3_rm,72,5.0,top2_factor4_beta0,4.0,0.0,16,0.35496760252190307,0.5082835549022009,51266.055,143.8525,0.2519532799022009,-29.02076749760444,1.0
gemma3_4b,fsfairx_llama3_rm,72,5.0,top2_factor4_beta2,4.0,2.0,16,0.35496760252190307,0.5092908281640781,52248.8425,146.1,0.2480466156640781,-30.121336735576445,0.9775889819130313
gemma3_4b,fsfairx_llama3_rm,72,5.0,top2_factor1_beta2,1.0,2.0,16,0.35496760252190307,0.43725452989396585,16590.5825,45.495,0.3543016173939658,-0.18761856665388435,0.961325164769052
gemma3_4b,fsfairx_llama3_rm,72,5.0,top2_factor0p25_beta2,0.25,2.0,16,0.35496760252190307,0.3747469721756857,5826.0125,14.93,0.3456169096756857,-2.634238386766688,0.9395628494032005
gemma3_4b,fsfairx_llama3_rm,72,10.0,current_beta0,1.0,0.0,7,0.3037217402374649,0.3778078436213253,5355.45,15.17,0.3242533436213253,6.760004525131378,1.0
gemma3_4b,fsfairx_llama3_rm,72,10.0,current_beta1,1.0,1.0,7,0.3037217402374649,0.38047923896173524,5488.085,15.575,0.32559838896173526,7.202859007447442,0.9683981673376436
gemma3_4b,fsfairx_llama3_rm,72,10.0,current_beta2,1.0,2.0,7,0.3037217402374649,0.3817851549184475,5642.9875,15.9925,0.3253552799184475,7.122815661489493,0.9400040380850936
gemma3_4b,fsfairx_llama3_rm,72,10.0,top2_factor4_beta0,4.0,0.0,7,0.3037217402374649,0.47224588533583195,28652.38,81.9275,0.1857220853358319,-38.85123758654055,1.0
gemma3_4b,fsfairx_llama3_rm,72,10.0,top2_factor4_beta2,4.0,2.0,7,0.3037217402374649,0.4750502822533766,29398.335,83.9925,0.18106693225337656,-40.383940869096385,0.9703577373610568
gemma3_4b,fsfairx_llama3_rm,72,10.0,top2_factor1_beta2,1.0,2.0,7,0.3037217402374649,0.4068917189177644,9649.06,26.015,0.31040111891776434,2.199177008230352,0.9513122232964037
gemma3_4b,fsfairx_llama3_rm,72,10.0,top2_factor0p25_beta2,0.25,2.0,7,0.3037217402374649,0.3554852765532548,4055.4975,9.4775,0.3149303015532548,3.6904046799634704,0.9299984046191707
gemma3_4b,fsfairx_llama3_rm,73,0.1,current_beta0,1.0,0.0,505,0.557264944870737,0.5888655852036003,305897.205,507.26,0.5582758647036004,0.1814073973552887,1.0
gemma3_4b,fsfairx_llama3_rm,73,0.1,current_beta1,1.0,1.0,505,0.557264944870737,0.5891445194641184,306970.055,508.625,0.5584475139641184,0.21220948926829486,0.9949835879520863
gemma3_4b,fsfairx_llama3_rm,73,0.1,current_beta2,1.0,2.0,505,0.557264944870737,0.5894532568818625,308015.555,509.9475,0.5586517013818625,0.24885048375816848,0.9900572530257234
gemma3_4b,fsfairx_llama3_rm,73,0.1,top2_factor4_beta0,4.0,0.0,505,0.557264944870737,0.6225866879045615,755401.0075,940.2725,0.5470465871545616,-1.8336623916915598,1.0
gemma3_4b,fsfairx_llama3_rm,73,0.1,top2_factor4_beta2,4.0,2.0,505,0.557264944870737,0.6225866879045615,755877.665,940.745,0.5469989214045615,-1.8422159083695366,0.9926187128081856
gemma3_4b,fsfairx_llama3_rm,73,0.1,top2_factor1_beta2,1.0,2.0,505,0.557264944870737,0.5983243046312386,409408.0675,614.9375,0.5573834978812386,0.02127408364600717,0.9909735683414499
gemma3_4b,fsfairx_llama3_rm,73,0.1,top2_factor0p25_beta2,0.25,2.0,505,0.557264944870737,0.5498091423041614,140322.53,269.985,0.5357768893041615,-3.85598551718696,0.9855235644852134
