generator,split_seed,target,attained_quality,mean_length,matched_feasible,matched_saving_percent,train_feasible
mistral_7b,74,0.5,0.5055522865235157,93750.14903234686,True,15.966175979262264,True
mistral_7b,74,0.55,0.5540119907249912,205940.91705489394,True,14.332406345444692,True
mistral_7b,74,0.6,0.5967796167905148,444463.59141440905,True,13.10127312366175,True
mistral_7b,75,0.3,0.3040662820609724,8379.90551060908,True,19.547219628867087,True
mistral_7b,75,0.35,0.3469509272524035,14663.766124585301,True,14.625280498699455,True
mistral_7b,75,0.4,0.3965946168484531,25404.448628097743,True,10.601112380717126,True
mistral_7b,75,0.45,0.4453285664763687,45448.82034041958,True,2.8871438696036034,True
mistral_7b,75,0.5,0.5038594208051734,92030.65280023881,True,10.077044601353169,True
mistral_7b,75,0.55,0.5510869478319572,202143.31919456623,True,14.410151655757941,True
mistral_7b,75,0.6,0.5911985922306555,425308.672082139,True,9.366449333677028,True
qwen2.5_7b,71,0.3,0.2819709434311653,6333.955143380512,True,30.9823385683211,True
qwen2.5_7b,71,0.35,0.3367146231022843,11885.48144029065,True,36.47785909216606,True
qwen2.5_7b,71,0.4,0.38475393837596455,21504.459303228166,True,30.630757080397586,True
qwen2.5_7b,71,0.45,0.4311129442931309,38304.00705929598,True,34.55910386401152,True
qwen2.5_7b,71,0.5,0.48865891130416295,84831.30509225593,True,26.914515653941084,True
qwen2.5_7b,71,0.55,0.541874169032499,182808.69697667388,True,28.807945169580595,True
qwen2.5_7b,71,0.6,0.5909129820174441,417207.71601661807,True,27.605946232347524,True
qwen2.5_7b,72,0.3,0.3321049768706316,8340.812846039691,True,39.99159777942366,True
qwen2.5_7b,72,0.35,0.3827507859772075,15823.41141546911,True,36.558277490045135,True
qwen2.5_7b,72,0.4,0.4329480202320815,28217.21815806629,True,40.547490859757104,True
qwen2.5_7b,72,0.45,0.48591666446371745,54584.003735623264,True,41.09005908795281,True
qwen2.5_7b,72,0.5,0.5373852846178114,118298.6012173091,True,40.788747279345316,True
qwen2.5_7b,72,0.55,0.578072061813048,253382.94825574977,True,34.8592166090515,True
qwen2.5_7b,72,0.6,0.6126509883262009,492553.4934962474,True,29.79360911723734,True
qwen2.5_7b,73,0.3,0.3156557763922891,7477.215331165961,True,38.243055995600315,True
qwen2.5_7b,73,0.35,0.3677311296048994,14119.009660830514,True,38.43001375505247,True
qwen2.5_7b,73,0.4,0.41048505992637785,24776.577587970845,True,36.02662912040516,True
qwen2.5_7b,73,0.45,0.4537572292975187,43790.6447313661,True,33.5918881121256,True
qwen2.5_7b,73,0.5,0.5054188590539084,95777.68189701458,True,26.533842139112263,True
qwen2.5_7b,73,0.55,0.555515755453309,210106.95533494093,True,25.832102142664482,True
qwen2.5_7b,73,0.6,0.5968588889413412,424907.54108136473,True,22.387253013315046,True
qwen2.5_7b,74,0.3,0.3032123848570645,7157.57388085493,True,31.136436825895387,True
qwen2.5_7b,74,0.35,0.35258147152790875,12915.954799268879,True,36.30162411655971,True
qwen2.5_7b,74,0.4,0.4077872957871452,24516.10854008357,True,35.661497100146754,True
qwen2.5_7b,74,0.45,0.45604067740027554,44481.96323163301,True,40.15572422870992,True
qwen2.5_7b,74,0.5,0.5013144817714643,92998.52607196655,True,32.230404218493966,True
