split,method,divisor,config_id,family,calibration,confidence_scale,reward_prior_strength,cost_prior_strength,cap_factor,tail_quantile,train_accuracy,train_chars,train_utility,fixed_n
79,shifted_exponential_calibrated_probability,100000.0,138,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.5,0.3048780487804878,3924.8475609756097,0.2656295731707317,11
79,selected_ucb,100000.0,138,shifted_exponential,bounded_identity,0.0,5.0,10.0,2.0,0.5,0.3048780487804878,3924.8475609756097,0.2656295731707317,11
79,gaussian_calibrated_probability,200000.0,9,gaussian,bounded_identity,0.0,5.0,10.0,1.2,,0.3048780487804878,5729.262195121952,0.27623173780487803,20
79,shifted_exponential_calibrated_probability,200000.0,272,shifted_exponential,bounded_identity,0.0,20.0,0.0,,0.75,0.3475609756097561,11281.34756097561,0.29115423780487804,20
79,selected_ucb,200000.0,272,shifted_exponential,bounded_identity,0.0,20.0,0.0,,0.75,0.3475609756097561,11281.34756097561,0.29115423780487804,20
79,gaussian_calibrated_probability,300000.0,32,gaussian,bounded_identity,0.0,1000000.0,0.0,1.5,,0.3231707317073171,10406.701219512195,0.2884817276422764,28
79,shifted_exponential_calibrated_probability,300000.0,265,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.32926829268292684,9207.006097560976,0.2985782723577236,28
79,selected_ucb,300000.0,265,shifted_exponential,bounded_identity,0.0,5.0,10.0,,0.75,0.32926829268292684,9207.006097560976,0.2985782723577236,28
79,gaussian_calibrated_probability,400000.0,33,gaussian,bounded_identity,0.0,1000000.0,0.0,2.0,,0.34146341463414637,15581.176829268292,0.30251047256097563,34
79,shifted_exponential_calibrated_probability,400000.0,279,shifted_exponential,bounded_identity,0.0,20.0,10.0,,0.75,0.3597560975609756,22296.719512195123,0.3040142987804878,34
79,selected_ucb,400000.0,279,shifted_exponential,bounded_identity,0.0,20.0,10.0,,0.75,0.3597560975609756,22296.719512195123,0.3040142987804878,34
79,gaussian_calibrated_probability,500000.0,33,gaussian,bounded_identity,0.0,1000000.0,0.0,2.0,,0.35365853658536583,17637.378048780487,0.31838378048780486,40
79,shifted_exponential_calibrated_probability,500000.0,327,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,2.0,0.75,0.3597560975609756,19293.14024390244,0.3211698170731707,40
79,selected_ucb,500000.0,327,shifted_exponential,bounded_identity,0.2,1000000.0,0.0,2.0,0.75,0.3597560975609756,19293.14024390244,0.3211698170731707,40
79,gaussian_calibrated_probability,600000.0,33,gaussian,bounded_identity,0.0,1000000.0,0.0,2.0,,0.3597560975609756,19224.048780487807,0.32771601626016256,45
