generator,reward_model,split_seed,price_per_million,fixed_n,fixed_net_utility,theory_net_utility,incumbent_net_utility,theory_gain_percent,incumbent_gain_percent,theory_minus_incumbent,theory_calls,incumbent_calls
granite42_8b,rm_mistral_7b,71,2.0,35,0.379641488656071,0.22654145422282748,0.39083824528002303,-40.32752979007033,2.949297418358698,-0.16429679105719555,247.5425,59.0625
granite42_8b,rm_mistral_7b,71,5.0,13,0.30982444793409736,0.12395656274145227,0.31733901575194606,-59.991355243915734,2.42542764715815,-0.19338245301049378,124.785,26.79
granite42_8b,rm_mistral_7b,71,10.0,8,0.24891499890015084,0.040565702597805356,0.2629912793222875,-83.7029898651958,5.65505513301076,-0.22242557672448215,70.5575,14.6725
granite42_8b,rm_mistral_7b,72,0.1,376,0.5669379571014225,0.5451906429475564,0.5686329257114525,-3.8359248805730632,0.29896897690461455,-0.02344228276389615,936.28,412.0175
granite42_8b,rm_mistral_7b,72,0.2,226,0.5298414457264485,0.46454896004511426,0.534681830796042,-12.323023464465647,0.9135534995675931,-0.07013287075092778,825.8075,279.6175
granite42_8b,rm_mistral_7b,72,0.5,137,0.46869041533944916,0.3655031552964473,0.47973121480484004,-22.016080693322582,2.355669991116541,-0.11422805950839277,546.93,152.865
granite42_8b,rm_mistral_7b,72,1.0,60,0.428109026757092,0.29025750311053344,0.43602394655379567,-32.20009741228259,1.8488093691130165,-0.14576644344326223,367.375,93.17
granite42_8b,rm_mistral_7b,72,2.0,32,0.37775066874350705,0.21516434753273198,0.3885692018404482,-43.04064417717055,2.863934862888868,-0.1734048543077162,227.0925,51.33
granite42_8b,rm_mistral_7b,72,5.0,13,0.3076750319041119,0.11217114521436004,0.30340964956857946,-63.542330841678876,-1.3863270962012095,-0.1912385043542194,111.2175,23.3875
granite42_8b,rm_mistral_7b,72,10.0,8,0.2405257396215783,0.02691688960936672,0.24760054380441449,-88.80914381483024,2.941391717147215,-0.22068365419504776,62.6125,12.7975
granite42_8b,rm_mistral_7b,73,0.1,373,0.565935916841488,0.5487332468715729,0.566913620555723,-3.0396851406646834,0.172758732064861,-0.018180373684150153,937.4575,452.935
granite42_8b,rm_mistral_7b,73,0.2,204,0.5276559359722216,0.46817341289796294,0.5345238953500199,-11.272975251317956,1.3015980508480123,-0.06635048245205694,827.9075,327.9225
granite42_8b,rm_mistral_7b,73,0.5,114,0.4699364910711892,0.377605490180066,0.4810776882820965,-19.64754868911345,2.37078784529197,-0.10347219810203051,546.3575,186.525
granite42_8b,rm_mistral_7b,73,1.0,60,0.427087782526686,0.30347704918434515,0.4375477005656611,-28.94269946357391,2.4491260267604447,-0.13407065138131596,384.9625,110.695
granite42_8b,rm_mistral_7b,73,2.0,32,0.37820556721005455,0.22913921399222395,0.38832538255196347,-39.41410865986525,2.6757446794241395,-0.15918616855973952,249.485,60.6575
granite42_8b,rm_mistral_7b,73,5.0,13,0.3105288767614011,0.13252810488111258,0.31479403342449497,-57.32180972562424,1.3735136994589519,-0.1822659285433824,124.3925,27.5275
granite42_8b,rm_mistral_7b,73,10.0,7,0.24631630625396625,0.049550012934259105,0.25815194898623056,-79.88358396249649,4.805058549416978,-0.20860193605197147,70.1525,15.185
granite42_8b,rm_mistral_7b,74,0.1,376,0.5581656507885142,0.5320506403447897,0.5597235066889177,-4.6787204491770815,0.2791027893247651,-0.027672866344128022,931.0175,412.57
granite42_8b,rm_mistral_7b,74,0.2,226,0.5245165163877662,0.455604637372275,0.5269481245148089,-13.138171413566278,0.4635903829661365,-0.07134348714253386,786.81,288.1525
granite42_8b,rm_mistral_7b,74,0.5,137,0.4658652066108808,0.3629990728604745,0.4741655992628504,-22.080664597973815,1.781715512165856,-0.1111665264023759,517.2175,147.9325
granite42_8b,rm_mistral_7b,74,1.0,59,0.42246987469244035,0.28995177823636026,0.42710842977257274,-31.36746650931117,1.09796114658099,-0.13715665153621248,347.4475,81.1725
granite42_8b,rm_mistral_7b,74,2.0,33,0.373206934882218,0.21740073081365605,0.38251716857124174,-41.74793914741523,2.4946572045779334,-0.1651164377575857,204.165,44.585
granite42_8b,rm_mistral_7b,74,5.0,13,0.31062936694121746,0.11758684642020553,0.3136862728434796,-62.14561180158561,0.9841007411384359,-0.19609942642327408,97.295,20.065
granite42_8b,rm_mistral_7b,74,10.0,7,0.2514892022030135,0.03282003359291808,0.25620800173620567,-86.94972455858193,1.8763427979635179,-0.2233879681432876,54.905,11.025
granite42_8b,rm_mistral_7b,75,0.1,376,0.5742484318714425,0.5507705849319064,0.5719170931094161,-4.0884477234048475,-0.405980866927003,-0.021146508177509626,934.055,394.7875
granite42_8b,rm_mistral_7b,75,0.2,204,0.5325931245708596,0.46947106983673736,0.533519968185754,-11.851834321928818,0.17402470518957197,-0.06404889834901661,817.2575,252.6075
granite42_8b,rm_mistral_7b,75,0.5,114,0.4733815723336379,0.36259932033806125,0.4847531356434542,-23.40231611666913,2.402198136644325,-0.12215381530539293,547.555,130.705
granite42_8b,rm_mistral_7b,75,1.0,58,0.4289028366547714,0.2813412058960837,0.44037043321571906,-34.404442719380214,2.673704993510696,-0.15902922731963537,365.4125,80.84
granite42_8b,rm_mistral_7b,75,2.0,35,0.37639595064580145,0.2043568042192262,0.3863793227176997,-45.70695995304919,2.6523590529518932,-0.1820225184984735,224.5575,44.8225
granite42_8b,rm_mistral_7b,75,5.0,13,0.30387937379828484,0.10257220541159245,0.3035319417628377,-66.24574938091062,-0.11433222041511495,-0.20095973635124526,107.94,20.57
granite42_8b,rm_mistral_7b,75,10.0,7,0.23791204907460892,0.01529075831961272,0.2508534028836938,-93.57293656244474,5.439553759224057,-0.23556264456408108,60.4925,11.3525
ministral3_8b,fsfairx_llama3_rm,71,0.1,387,0.5672350453932439,0.5535671468490209,0.5786125774176203,-2.4095652508119527,2.005787921035234,-0.025045430568599425,924.4375,493.295
ministral3_8b,fsfairx_llama3_rm,71,0.2,240,0.533884441914669,0.4886194874304158,0.5440599484880372,-8.478417974106826,1.90593802225736,-0.055440461057621404,817.745,322.235
