generator,split_seed,price,method,selected_policy,fixed_n,profit,fixed_profit,delta_profit,relative_percent,quality,fixed_quality,cost,fixed_cost,samples,ci_low,ci_high,delta_test_oracle
qwen2.5_7b,43,1e-06,original_sequential,spacing_w2_a4_n4,40,0.3275530710915897,0.37329750486235874,-0.04574443377076906,-12.254149351369447,0.5143141485915896,0.4620602398623588,0.18676107749999996,0.08876273499999998,155.485,-0.0731355643950261,-0.022079107611925355,-0.049474646715804205
qwen2.5_7b,43,2e-06,spacing,spacing_w4_a1_n5,18,0.34674316537532157,0.3243207677258094,0.02242239764951199,6.913648424904002,0.4339824253753214,0.40443130772580943,0.08723925999999997,0.08011054000000001,43.625,0.00650893192025995,0.040188792530146934,0.02142819995958961
qwen2.5_7b,43,2e-06,recent_gain,recent_gain_w8_a0.5_n16,18,0.3249962450185568,0.3243207677258094,0.0006754772927472324,0.2082744492385703,0.40018400001855675,0.40443130772580943,0.07518775499999998,0.08011054000000001,17.435,-0.003318595310095748,0.004739516464060457,-0.0003187203971751762
qwen2.5_7b,43,2e-06,remaining_range,remaining_range_w0_a0.1_n4,18,0.3520797359134592,0.3243207677258094,0.027758968187649752,8.559109051911848,0.39989203591345907,0.40443130772580943,0.047812300000000016,0.08011054000000001,30.98,0.015329791273928473,0.042463269872481654,0.02676477049772724
qwen2.5_7b,43,2e-06,all_train_selected,remaining_range_w0_a0.1_n4,18,0.3520797359134592,0.3243207677258094,0.027758968187649752,8.559109051911848,0.39989203591345907,0.40443130772580943,0.047812300000000016,0.08011054000000001,30.98,0.015197091866131471,0.043690313003114864,0.02676477049772724
qwen2.5_7b,43,2e-06,original_sequential,spacing_w2_a4_n4,18,0.2577203659234477,0.3243207677258094,-0.06660040180236178,-20.535349083370377,0.47989653092344775,0.40443130772580943,0.22217616500000006,0.08011054000000001,101.86,-0.09998955085847348,-0.03816938477529723,-0.06759459949228425
qwen2.5_7b,43,1e-05,spacing,spacing_w2_a0.25_n4,4,0.2079485105589224,0.19815117380265473,0.009797336756267738,4.944374826679163,0.3037099855589225,0.2871284738026547,0.09576147500000003,0.0889773,5.6975,0.002622879529375106,0.020827577106960912,0.009797336756267677
qwen2.5_7b,43,1e-05,recent_gain,recent_gain_w4_a0.5_n8,4,0.16022294171098886,0.19815117380265473,-0.03792823209166584,-19.14105849781128,0.3415613167109888,0.2871284738026547,0.18133837500000002,0.0889773,8.455,-0.05679446076263556,-0.019994349243063977,-0.037928232091665876
qwen2.5_7b,43,1e-05,remaining_range,remaining_range_w0_a0.1_n4,4,0.2229642518374002,0.19815117380265473,0.024813078034745445,12.522296768959645,0.3220827018374001,0.2871284738026547,0.09911845,0.0889773,7.805,0.011285757816823932,0.0406351829349145,0.024813078034745473
qwen2.5_7b,43,1e-05,all_train_selected,remaining_range_w0_a0.1_n4,4,0.2229642518374002,0.19815117380265473,0.024813078034745445,12.522296768959645,0.3220827018374001,0.2871284738026547,0.09911845,0.0889773,7.805,0.011803863123647253,0.041015058825151995,0.024813078034745473
qwen2.5_7b,43,1e-05,original_sequential,spacing_w2_a4_n4,4,0.08323731070699378,0.19815117380265473,-0.114913863095661,-57.99302668280304,0.4012306607069938,0.2871284738026547,0.3179933499999999,0.0889773,30.96,-0.14024792677272838,-0.09141692207806329,-0.11491386309566096
qwen2.5_7b,44,2e-08,spacing,spacing_w4_a4_n5,495,0.6277252828676005,0.6280011418103846,-0.00027585894278385427,-0.04392650338001228,0.6479122082676005,0.6478726414103844,0.020186925400000003,0.0198714996,506.7425,-0.0019264051722839095,0.0010225150315604082,-0.0010690064164978752
qwen2.5_7b,44,2e-08,recent_gain,recent_gain_w16_a0.5_n32,495,0.449417243924216,0.6280011418103846,-0.1785838978861684,-28.436874711939474,0.45091081187421606,0.6478726414103844,0.0014935679500000002,0.0198714996,37.45,-0.22194495085433513,-0.140856719693231,-0.17937704535988241
qwen2.5_7b,44,2e-08,remaining_range,remaining_range_w0_a0.3_n4,495,0.6285438036540242,0.6280011418103846,0.0005426618436397756,0.08641096448891873,0.6484108397040241,0.6478726414103844,0.019867036050000005,0.0198714996,496.2775,-0.0006037111551119009,0.0015814757970363282,-0.0002504856300742375
qwen2.5_7b,44,2e-08,all_train_selected,remaining_range_w0_a0.3_n4,495,0.6285438036540242,0.6280011418103846,0.0005426618436397756,0.08641096448891873,0.6484108397040241,0.6478726414103844,0.019867036050000005,0.0198714996,496.2775,-0.00050292726530129,0.0016260908425561715,-0.0002504856300742375
qwen2.5_7b,44,2e-08,original_sequential,spacing_w2_a4_n4,495,0.6182899302780558,0.6280011418103846,-0.009711211532328613,-1.5463684515498486,0.6371863928280558,0.6478726414103844,0.018896462550000003,0.0198714996,480.84,-0.015503567714764984,-0.004296784368018916,-0.01050435900604263
qwen2.5_7b,44,1e-07,spacing,spacing_w4_a1_n5,284,0.5629788615391691,0.5634998112120146,-0.0005209496728450481,-0.09244895250710967,0.6082408172891696,0.6204993659620146,0.04526195575,0.05699955474999999,314.375,-0.011686213102135464,0.009160033881037715,-0.0007299160573275287
qwen2.5_7b,44,1e-07,recent_gain,recent_gain_w16_a1_n32,284,0.4434429721242158,0.5634998112120146,-0.12005683908779838,-21.305568644215118,0.45091081187421606,0.6204993659620146,0.00746783975,0.05699955474999999,37.45,-0.16148239250537655,-0.08105898404988601,-0.12026580547228083
qwen2.5_7b,44,1e-07,remaining_range,remaining_range_w0_a0.1_n4,284,0.5706329879877223,0.5634998112120146,0.007133176775708092,1.2658703044399533,0.6057588369877226,0.6204993659620146,0.03512584900000001,0.05699955474999999,271.315,-0.006728955560672619,0.018139773253883325,0.006924210391225705
qwen2.5_7b,44,1e-07,all_train_selected,remaining_range_w0_a0.1_n4,284,0.5706329879877223,0.5634998112120146,0.007133176775708092,1.2658703044399533,0.6057588369877226,0.6204993659620146,0.03512584900000001,0.05699955474999999,271.315,-0.006599145339196313,0.018296626419335382,0.006924210391225705
qwen2.5_7b,44,1e-07,original_sequential,spacing_w2_a4_n4,284,0.5492784336889587,0.5634998112120146,-0.014221377523055767,-2.523759057251046,0.6231905841889587,0.6204993659620146,0.07391215049999998,0.05699955474999999,416.925,-0.024545491850978558,-0.0046424478003202875,-0.014430343907537946
qwen2.5_7b,44,2e-07,spacing,spacing_w4_a1_n5,142,0.5259908544686138,0.5118023251287545,0.014188529339859472,2.7722674640624296,0.5837249504686138,0.5688706326287545,0.057734096,0.0570683075,236.045,-0.00020621169496687572,0.03072363889760718,0.007017554912167712
qwen2.5_7b,44,2e-07,recent_gain,recent_gain_w16_a2_n32,142,0.4359751323742161,0.5118023251287545,-0.07582719275453839,-14.815718692849334,0.45091081187421606,0.5688706326287545,0.0149356795,0.0570683075,37.45,-0.1077033279670661,-0.04637847902251366,-0.08299816718223002
qwen2.5_7b,44,2e-07,remaining_range,remaining_range_w0_a0.1_n4,142,0.531063984597911,0.5118023251287545,0.019261659469156554,3.76349588961146,0.571619456597911,0.5688706326287545,0.040555472,0.0570683075,186.0475,0.000345329189737608,0.03651222749498453,0.012090685041464933
qwen2.5_7b,44,2e-07,all_train_selected,remaining_range_w0_a0.1_n4,142,0.531063984597911,0.5118023251287545,0.019261659469156554,3.76349588961146,0.571619456597911,0.5688706326287545,0.040555472,0.0570683075,186.0475,0.0008199448515537707,0.03694424106606396,0.012090685041464933
qwen2.5_7b,44,2e-07,original_sequential,spacing_w2_a4_n4,142,0.4989736102125892,0.5118023251287545,-0.012828714916165085,-2.506576130332694,0.6084278987125896,0.5688706326287545,0.1094542885,0.0570683075,349.1025,-0.03161233183202194,0.008120831217985536,-0.01999968934385693
qwen2.5_7b,44,1e-06,spacing,spacing_w4_a1_n5,39,0.41817094813626327,0.37467494117891964,0.043496006957343576,11.608998141290906,0.4961023356362633,0.45298827867891966,0.07793138749999999,0.07831333749999998,100.455,0.01154541862210714,0.08171262746129929,0.03968493393841227
