generator,split,target_quality,adaptive_divisor_low,adaptive_divisor_high,adaptive_high_weight,target_reached_train,fixed_quality,adaptive_quality,quality_gap,fixed_chars,adaptive_chars,direct_char_saving_pct,matched_fixed_chars,matched_char_saving_pct
mistral_7b,33,0.3,50000.0,75000.0,0.6491473986095042,True,0.30712453797142025,0.3141698436134754,0.007045305642055133,10294.419432906108,9080.151072328104,11.795403990404699,11394.754759709185,20.312887255505565
mistral_7b,33,0.35,100000.0,200000.0,0.8441282032314882,True,0.353062104538853,0.3669020054854604,0.01383990094660742,17848.752271123707,17219.751828764704,3.5240583364284848,21359.39828032839,19.380913250614483
mistral_7b,33,0.4,200000.0,500000.0,0.8134975843316269,True,0.38861204404309935,0.41840156450969945,0.029789520466600106,30377.320531584734,33818.49027765026,-11.328088474714473,43662.20285650656,22.54515790512707
mistral_7b,33,0.45,500000.0,1000000.0,0.9912683674969675,True,0.4432089985024918,0.4686670222738391,0.025458023771347316,56444.498626370914,58461.83820647232,-3.5740233843779814,78171.17814300637,25.213052182068665
mistral_7b,33,0.5,1000000.0,2000000.0,0.9209072459991473,True,0.49485366092913885,0.5075739115971223,0.012720250667983435,116095.02342281192,91279.13746813952,21.375495023842888,139664.15440233515,34.64383337388869
mistral_7b,33,0.55,2000000.0,5000000.0,0.9350633627174024,True,0.5442731311938006,0.5566175306711579,0.012344399477357326,253743.13418232393,206486.5541035279,18.623786701097664,309831.583632568,33.35522748113307
mistral_7b,33,0.6,10000000.0,20000000.0,0.0231867428642211,True,0.5876646773301355,0.5915064228808674,0.003841745550731912,548955.7772060431,442124.7851809314,19.460764684695935,578293.4936396097,23.5466436949986
mistral_7b,34,0.3,50000.0,75000.0,0.9150716202826114,True,0.29735704195723545,0.29861377676538486,0.0012567348081494178,10734.301385380799,8712.51876220548,18.834785335250732,10925.252543865512,20.25338794481665
mistral_7b,34,0.35,100000.0,200000.0,0.7617071446347495,True,0.3307624885176865,0.3368399266792612,0.006077438161574689,16865.66885596472,14544.08872996348,13.765123374755388,18447.90596533814,21.161302766338697
mistral_7b,34,0.4,200000.0,500000.0,0.7361421509323134,True,0.38557052377099055,0.391733631640995,0.006163107870004458,34720.44852852546,26530.483758375725,23.588303484677233,36531.35141293207,27.376122885549876
mistral_7b,34,0.45,500000.0,1000000.0,0.7966437782983398,True,0.44820469536365876,0.4421194970010987,-0.006085198362560051,67077.22491984829,46873.231695604445,30.12049655957881,61821.86725302564,24.180174785467333
