generator,reward_model,split_seed,price_per_million,policy,fixed_n,fixed_net_utility,adaptive_quality,adaptive_output_tokens,adaptive_calls,adaptive_net_utility,relative_gain_percent
ministral3_8b,fsfairx_llama3_rm,71,10.0,four_over_n,9,0.27487847308633667,0.47241700876745213,36867.33,74.585,0.10374370876745209,-62.258336346743604
ministral3_8b,fsfairx_llama3_rm,71,10.0,four_over_n_plus_one,9,0.27487847308633667,0.4690331362965626,35980.9125,73.675,0.10922401129656262,-60.26461800729794
ministral3_8b,fsfairx_llama3_rm,71,10.0,one_over_n,9,0.27487847308633667,0.39504257477089816,12614.105,23.45,0.2689015247708981,-2.1743966518473945
ministral3_8b,fsfairx_llama3_rm,71,10.0,one_over_n_plus_one,9,0.27487847308633667,0.39086964644313227,11894.595,22.6175,0.27192369644313225,-1.074939266806957
ministral3_8b,fsfairx_llama3_rm,71,10.0,record_then_smooth,9,0.27487847308633667,0.3888700889193113,11450.035,21.87,0.27436973891931127,-0.1850760306230367
ministral3_8b,fsfairx_llama3_rm,71,10.0,current_mean_costse2,9,0.27487847308633667,0.3617865366275077,7125.0825,14.415,0.2905357116275077,5.696058467355218
ministral3_8b,fsfairx_llama3_rm,72,0.1,four_over_n,380,0.5666455769360195,0.6413508653830615,897040.3725,926.775,0.5516468281330615,-2.6469365355430017
ministral3_8b,fsfairx_llama3_rm,72,0.1,four_over_n_plus_one,380,0.5666455769360195,0.6413508653830615,896818.4775,926.6475,0.5516690176330615,-2.64302059568515
ministral3_8b,fsfairx_llama3_rm,72,0.1,one_over_n,380,0.5666455769360195,0.6133793067656437,458496.5725,618.665,0.5675296495156437,0.15601861474055362
ministral3_8b,fsfairx_llama3_rm,72,0.1,one_over_n_plus_one,380,0.5666455769360195,0.6132219854457052,457798.005,618.1475,0.5674421849457052,0.1405831161681642
ministral3_8b,fsfairx_llama3_rm,72,0.1,record_then_smooth,380,0.5666455769360195,0.6122235488325686,452863.365,614.405,0.5669372123325686,0.05146698543488543
ministral3_8b,fsfairx_llama3_rm,72,0.1,current_mean_costse2,380,0.5666455769360195,0.6103226417165812,345570.1025,487.3325,0.5757656314665812,1.6094812880876868
ministral3_8b,fsfairx_llama3_rm,72,0.2,four_over_n,231,0.5305275562488173,0.630511611392351,693088.15,793.7275,0.49189398139235097,-7.2821052179893195
ministral3_8b,fsfairx_llama3_rm,72,0.2,four_over_n_plus_one,231,0.5305275562488173,0.630511611392351,692562.4225,793.38,0.49199912689235104,-7.262286172067649
ministral3_8b,fsfairx_llama3_rm,72,0.2,one_over_n,231,0.5305275562488173,0.5896563067218762,276971.98,442.43,0.5342619107218762,0.70389453461443
ministral3_8b,fsfairx_llama3_rm,72,0.2,one_over_n_plus_one,231,0.5305275562488173,0.5896563067218762,276205.4175,441.76,0.5344152232218762,0.7327926565298999
ministral3_8b,fsfairx_llama3_rm,72,0.2,record_then_smooth,231,0.5305275562488173,0.5889015919129231,272004.3875,438.0,0.5345007144129231,0.748907029862631
ministral3_8b,fsfairx_llama3_rm,72,0.2,current_mean_costse2,231,0.5305275562488173,0.5854357575770174,198192.115,316.14,0.5457973345770174,2.8782252963762294
ministral3_8b,fsfairx_llama3_rm,72,0.5,four_over_n,117,0.4783189992710311,0.6071883900865308,394147.65,561.955,0.41011456508653077,-14.259194029182497
ministral3_8b,fsfairx_llama3_rm,72,0.5,four_over_n_plus_one,117,0.4783189992710311,0.6071883900865308,393452.495,561.3925,0.4104621425865308,-14.186527565895497
ministral3_8b,fsfairx_llama3_rm,72,0.5,one_over_n,117,0.4783189992710311,0.552337832670096,134685.255,259.555,0.484995205170096,1.3957643140330107
ministral3_8b,fsfairx_llama3_rm,72,0.5,one_over_n_plus_one,117,0.4783189992710311,0.5521579508787123,133886.6175,258.7975,0.48521464212871235,1.4416410111641715
ministral3_8b,fsfairx_llama3_rm,72,0.5,record_then_smooth,117,0.4783189992710311,0.549994526747887,130642.8925,255.13,0.48467308049788693,1.3284191588750573
ministral3_8b,fsfairx_llama3_rm,72,0.5,current_mean_costse2,117,0.4783189992710311,0.5482239381102079,92276.335,161.7975,0.5020857706102079,4.968811896537217
ministral3_8b,fsfairx_llama3_rm,72,1.0,four_over_n,60,0.432590599668766,0.5799320033659402,231679.1375,391.495,0.3482528658659402,-19.495970062087135
ministral3_8b,fsfairx_llama3_rm,72,1.0,four_over_n_plus_one,60,0.432590599668766,0.5798629578629586,230919.8925,390.8175,0.3489430653629586,-19.33641978578735
ministral3_8b,fsfairx_llama3_rm,72,1.0,one_over_n,60,0.432590599668766,0.5161409932957767,76014.8425,155.105,0.44012615079577666,1.7419590561562397
ministral3_8b,fsfairx_llama3_rm,72,1.0,one_over_n_plus_one,60,0.432590599668766,0.5143874791954324,75003.425,154.22,0.43938405419543236,1.5704119626889932
ministral3_8b,fsfairx_llama3_rm,72,1.0,record_then_smooth,60,0.432590599668766,0.5131186701593319,72984.785,151.79,0.4401338851593319,1.7437469737765359
ministral3_8b,fsfairx_llama3_rm,72,1.0,current_mean_costse2,60,0.432590599668766,0.5062600685901547,51456.2725,99.4175,0.4548037960901547,5.1349235139176175
ministral3_8b,fsfairx_llama3_rm,72,2.0,four_over_n,30,0.38492679485803677,0.552337832670096,134685.255,259.555,0.28296732267009594,-26.488016305943074
ministral3_8b,fsfairx_llama3_rm,72,2.0,four_over_n_plus_one,30,0.38492679485803677,0.5521579508787123,133886.6175,258.7975,0.28438471587871234,-26.11979221046561
ministral3_8b,fsfairx_llama3_rm,72,2.0,one_over_n,30,0.38492679485803677,0.4864068890698381,43920.0275,96.2575,0.3985668340698381,3.5435411080779327
ministral3_8b,fsfairx_llama3_rm,72,2.0,one_over_n_plus_one,30,0.38492679485803677,0.48526765694183893,43191.025,95.5225,0.39888560694183894,3.626355003150733
ministral3_8b,fsfairx_llama3_rm,72,2.0,record_then_smooth,30,0.38492679485803677,0.48213184629471134,41726.9275,93.4925,0.3986779912947114,3.5724186053990157
ministral3_8b,fsfairx_llama3_rm,72,2.0,current_mean_costse2,30,0.38492679485803677,0.470733006216251,28139.2075,56.1875,0.41445459121625106,7.671016087384697
ministral3_8b,fsfairx_llama3_rm,72,5.0,four_over_n,15,0.32355096785091014,0.5074237075812811,63623.8425,132.825,0.18930449508128105,-41.491599812332765
ministral3_8b,fsfairx_llama3_rm,72,5.0,four_over_n_plus_one,15,0.32355096785091014,0.5066529849848354,62848.1775,132.0325,0.19241209748483534,-40.53113215427086
ministral3_8b,fsfairx_llama3_rm,72,5.0,one_over_n,15,0.32355096785091014,0.4366781170163064,21497.185,47.235,0.32919219201630634,1.7435349375915423
ministral3_8b,fsfairx_llama3_rm,72,5.0,one_over_n_plus_one,15,0.32355096785091014,0.43353488326618217,20661.5075,46.3875,0.3302273457661822,2.063470234571655
ministral3_8b,fsfairx_llama3_rm,72,5.0,record_then_smooth,15,0.32355096785091014,0.42900694292887764,19841.22,45.175,0.3298008429288776,1.9316508677073028
ministral3_8b,fsfairx_llama3_rm,72,5.0,current_mean_costse2,15,0.32355096785091014,0.4062858311767314,12633.3275,26.4525,0.3431191936767314,6.047957747058303
